Date,DayOfWeek,Month,Population,Events,HistoricalBloodUsage,HospitalAdmissions,BloodDonorsAvailable,Temperature,PredictedBloodDemand
2020-06-05,4,6,118840,0,144,74,63,39.22041103708442,166
2020-06-06,5,6,168451,0,166,43,95,39.79732143299104,108
2020-06-07,6,6,101005,0,271,95,76,34.744044343365864,289
2020-06-08,0,6,89353,0,159,69,126,31.587551735131427,138
2020-06-09,1,6,102733,0,69,32,143,23.64325630482495,50
2020-06-10,2,6,115318,0,173,53,135,19.28495780811881,122
2020-06-11,3,6,117172,0,280,48,112,16.974514984155793,251
2020-06-12,4,6,143264,0,102,47,61,32.3324367137873,91
2020-06-13,5,6,76736,0,168,93,47,34.61808537948396,233
2020-06-14,6,6,162859,0,61,64,142,35.6613413113745,50
2020-06-15,0,6,162181,0,226,91,43,37.844125082594964,279
2020-06-16,1,6,181926,0,66,30,125,36.998239090959345,50
2020-06-17,2,6,140084,0,113,54,137,39.99353180645231,74
2020-06-18,3,6,57392,0,91,74,72,21.10160027418128,133
2020-06-19,4,6,105680,1,143,78,119,34.082690380305266,200
2020-06-20,5,6,100859,0,206,45,24,29.66148780936994,209
2020-06-21,6,6,175657,0,196,48,68,21.531128311339558,184
2020-06-22,0,6,120467,0,287,52,117,39.54763305717357,227
2020-06-23,1,6,148506,0,60,54,49,37.447452619356305,74
2020-06-24,2,6,159751,0,147,45,91,18.212891711102912,110
2020-06-25,3,6,168906,0,227,83,122,15.653958558085495,202
2020-06-26,4,6,193760,0,120,30,82,32.20826905831692,73
2020-06-27,5,6,75342,0,157,71,45,30.10326572141338,168
2020-06-28,6,6,156308,0,107,48,56,38.39539060277865,143
2020-06-29,0,6,156081,0,83,63,26,20.850132179009247,153
2020-06-30,1,6,139045,0,69,84,146,17.109698697374675,59
2020-07-01,2,7,84698,0,99,47,111,21.48038334429966,53
2020-07-02,3,7,160078,0,151,63,122,15.473191012786586,96
2020-07-03,4,7,130623,0,265,74,72,15.89731877972331,306
2020-07-04,5,7,72671,0,187,35,127,37.87144514801899,145
2020-07-05,6,7,143384,0,209,50,131,23.800414562546955,153
2020-07-06,0,7,136202,0,101,99,26,25.270225025242016,172
2020-07-07,1,7,101663,0,64,77,86,15.45929136345261,53
2020-07-08,2,7,65708,0,278,68,127,21.763044504296165,240
2020-07-09,3,7,141906,1,133,60,130,35.118149593535776,124
2020-07-10,4,7,99811,0,180,39,102,30.387273991667982,111
2020-07-11,5,7,183883,0,86,59,143,33.844515027160384,50
2020-07-12,6,7,106250,0,175,47,123,26.180343519844627,125
2020-07-13,0,7,162547,0,298,89,86,22.74323054378325,349
2020-07-14,1,7,174249,0,89,44,26,27.070252333209258,121
2020-07-15,2,7,84754,0,121,33,129,23.07677671014378,50
2020-07-16,3,7,192483,0,89,92,53,35.9742774168517,156
2020-07-17,4,7,183983,0,285,69,125,22.441842889821142,255
2020-07-18,5,7,189752,0,105,38,77,31.494091011327093,97
2020-07-19,6,7,134896,0,200,38,28,18.424555557738195,208
2020-07-20,0,7,121295,0,153,55,67,32.171662343372745,158
2020-07-21,1,7,150689,1,188,33,134,37.83249279000084,160
2020-07-22,2,7,61111,1,159,45,60,30.21457886599771,236
2020-07-23,3,7,87504,0,241,44,67,28.99638450086193,240
2020-07-24,4,7,182874,0,185,81,44,39.027956700541004,206
2020-07-25,5,7,58155,0,142,98,135,30.68491388289616,109
2020-07-26,6,7,89384,0,143,34,97,21.488760831827065,123
2020-07-27,0,7,162561,0,105,49,127,22.30977559619351,64
2020-07-28,1,7,97254,0,109,47,44,32.632666063398176,147
2020-07-29,2,7,71918,0,187,31,58,33.38591484730466,176
2020-07-30,3,7,135981,0,88,42,138,22.58740579472538,50
2020-07-31,4,7,80306,0,77,33,98,23.633599448158257,50
2020-08-01,5,8,197718,0,98,71,99,39.776412718477175,53
2020-08-02,6,8,96843,0,213,90,46,17.548813739506937,253
2020-08-03,0,8,170975,0,174,37,123,25.116125711002482,118
2020-08-04,1,8,146601,0,62,96,93,16.561188279937685,93
2020-08-05,2,8,157512,1,273,92,87,35.52695904995603,370
2020-08-06,3,8,197443,0,85,38,47,17.308645973635805,75
2020-08-07,4,8,161472,0,150,40,142,31.85018391156778,109
2020-08-08,5,8,183121,0,75,71,102,16.412085600087053,93
2020-08-09,6,8,153727,0,135,42,49,31.821375945242277,139
2020-08-10,0,8,162893,0,53,65,41,36.07592367319258,77
2020-08-11,1,8,70932,1,272,42,22,24.970538173101435,421
2020-08-12,2,8,167796,0,131,41,120,28.053162335804423,114
2020-08-13,3,8,79855,0,241,66,124,25.03854345013206,219
2020-08-14,4,8,57400,0,215,81,21,22.512218965815972,264
2020-08-15,5,8,167858,0,176,31,73,35.0815850156782,144
2020-08-16,6,8,65151,0,137,85,25,21.80006434327474,216
2020-08-17,0,8,116690,0,176,89,126,33.07358560973618,193
2020-08-18,1,8,54499,0,169,52,142,20.154926981380058,108
2020-08-19,2,8,56295,0,264,69,21,21.24634490195824,334
2020-08-20,3,8,170885,0,71,93,130,23.411529064430304,50
2020-08-21,4,8,176071,0,179,52,21,29.728909434844706,181
2020-08-22,5,8,109040,0,80,58,112,26.360557978988528,72
2020-08-23,6,8,62183,0,168,80,120,33.62862024569551,124
2020-08-24,0,8,193946,0,60,98,116,20.339182508404807,56
2020-08-25,1,8,166336,0,269,60,130,15.266807196220853,274
2020-08-26,2,8,82711,0,95,79,25,34.4139367946305,143
2020-08-27,3,8,55539,0,145,49,146,35.54123334700181,137
2020-08-28,4,8,176063,0,239,84,123,16.487004077709738,228
2020-08-29,5,8,183629,0,246,31,20,30.27268805395991,265
2020-08-30,6,8,88360,0,241,54,52,24.45516959682695,233
2020-08-31,0,8,183272,0,279,42,59,34.84739137986292,289
2020-09-01,1,9,71357,0,59,99,51,36.86036385491197,118
2020-09-02,2,9,169121,0,217,96,36,36.27509416993122,296
2020-09-03,3,9,127505,0,177,87,145,34.4301061837713,190
2020-09-04,4,9,52869,0,287,93,27,21.726305718554073,371
2020-09-05,5,9,100108,1,201,98,76,35.297241089207915,363
2020-09-06,6,9,162296,0,148,88,61,28.336961897657318,212
2020-09-07,0,9,144179,0,221,89,117,16.31891537080227,213
2020-09-08,1,9,140272,0,161,91,139,26.423471247456224,134
2020-09-09,2,9,88467,0,109,45,106,38.55394792574983,60
2020-09-10,3,9,73328,0,239,97,73,37.19648374338882,290
2020-09-11,4,9,141412,0,136,44,103,17.5566070249279,76
2020-09-12,5,9,185059,0,194,84,44,33.603167142859256,264
2020-09-13,6,9,108871,1,114,64,86,35.14482164895587,192
2020-09-14,0,9,178391,0,296,84,65,21.78470470591912,304
2020-09-15,1,9,136416,0,272,43,41,26.790214268527308,278
2020-09-16,2,9,120271,0,272,78,27,32.77469853659207,354
2020-09-17,3,9,94064,0,283,36,58,25.976037220528696,267
2020-09-18,4,9,157450,0,106,59,68,17.819922971664425,120
2020-09-19,5,9,69830,0,232,78,65,32.64706111704304,258
2020-09-20,6,9,198501,0,155,45,57,37.79096724338259,161
2020-09-21,0,9,187965,0,230,80,73,31.31211821015394,251
2020-09-22,1,9,166381,0,233,71,111,34.345018714225844,192
2020-09-23,2,9,97333,0,275,46,59,23.95906339144571,274
2020-09-24,3,9,184508,0,58,92,53,19.579956128165872,87
2020-09-25,4,9,126213,0,71,74,115,31.069341540457312,82
2020-09-26,5,9,186967,1,190,36,98,23.194280146030472,158
2020-09-27,6,9,80746,0,138,56,146,36.50183797474482,93
2020-09-28,0,9,99377,0,225,39,36,18.065701249450164,190
2020-09-29,1,9,104045,0,67,63,129,25.83659249332809,60
2020-09-30,2,9,147888,0,164,65,71,24.918190011709648,170
2020-10-01,3,10,157455,0,253,54,137,38.45134633884824,183
2020-10-02,4,10,186672,0,217,35,28,18.828370015110096,272
2020-10-03,5,10,143179,0,194,53,52,15.246170625300273,209
2020-10-04,6,10,95714,0,192,47,132,20.95213032017794,156
2020-10-05,0,10,152946,0,155,35,104,35.506921494216364,128
2020-10-06,1,10,159616,0,64,58,29,20.233045401175424,92
2020-10-07,2,10,155983,0,256,54,25,21.021951592637066,291
2020-10-08,3,10,174123,0,112,84,134,18.24747011342027,127
2020-10-09,4,10,199661,0,296,75,140,32.885905081913506,247
2020-10-10,5,10,93484,0,216,53,84,16.72935476263543,227
2020-10-11,6,10,132989,0,62,55,39,23.280207558213043,78
2020-10-12,0,10,86212,0,130,57,76,22.062468165524113,109
2020-10-13,1,10,93525,0,81,32,65,28.87899324475387,65
2020-10-14,2,10,113208,0,186,67,29,33.26040662549339,250
2020-10-15,3,10,83828,0,89,90,132,28.321910867418687,50
2020-10-16,4,10,199783,0,197,80,31,38.275649824376686,273
2020-10-17,5,10,53420,0,267,77,30,38.786065972183295,354
2020-10-18,6,10,146752,0,268,50,137,24.036633212462885,228
2020-10-19,0,10,181373,0,262,83,58,34.442009406872316,264
2020-10-20,1,10,165294,0,131,85,72,33.47003458170474,161
2020-10-21,2,10,174019,0,126,88,75,37.32411479262068,162
2020-10-22,3,10,115726,0,257,80,123,26.198591005192583,233
2020-10-23,4,10,191564,0,250,49,148,28.261829679944807,182
2020-10-24,5,10,165668,0,240,88,75,25.394357839539353,294
2020-10-25,6,10,56102,0,125,38,137,36.25942298249264,57
2020-10-26,0,10,168015,0,221,30,49,20.742557884053358,202
2020-10-27,1,10,76641,0,87,58,31,20.99272695606112,120
2020-10-28,2,10,153746,0,260,92,54,24.315127589426993,292
2020-10-29,3,10,86631,0,237,85,96,20.75857080255878,268
2020-10-30,4,10,122991,0,120,97,121,29.02517091037302,151
2020-10-31,5,10,54014,0,298,64,106,18.362252662387558,247
2020-11-01,6,11,61093,0,276,32,71,23.00465548510138,214
2020-11-02,0,11,68070,0,97,36,99,37.83611746188975,61
2020-11-03,1,11,85777,0,67,56,41,25.2306370047949,105
2020-11-04,2,11,106958,0,193,30,94,33.70584291233773,142
2020-11-05,3,11,132074,0,232,73,77,17.83655479266435,244
2020-11-06,4,11,60729,0,88,70,112,21.189112703544616,90
2020-11-07,5,11,155864,0,245,71,122,35.183640530009214,256
2020-11-08,6,11,180858,0,236,62,26,34.07482340724235,300
2020-11-09,0,11,155510,0,138,79,147,24.653897964845527,133
2020-11-10,1,11,104748,0,273,92,74,38.859922550836856,317
2020-11-11,2,11,55801,0,111,66,125,37.76607539586364,103
2020-11-12,3,11,79592,0,281,88,81,39.057518727806,340
2020-11-13,4,11,60647,0,190,77,109,25.697867254694636,229
2020-11-14,5,11,189788,0,158,34,117,19.936839592142075,129
2020-11-15,6,11,160627,0,130,77,96,30.666465977283526,198
2020-11-16,0,11,120316,0,290,32,138,32.11932895697996,223
2020-11-17,1,11,52368,0,278,76,55,18.136044611263,301
2020-11-18,2,11,127575,0,183,91,108,34.66207585739765,211
2020-11-19,3,11,56655,0,260,43,149,15.451505493999013,187
2020-11-20,4,11,120031,0,126,92,112,27.068209686919584,137
2020-11-21,5,11,137922,0,298,90,133,23.275406487372372,279
2020-11-22,6,11,174046,0,237,60,47,33.5075764974771,285
2020-11-23,0,11,194475,0,139,46,52,22.8190181855454,158
2020-11-24,1,11,82097,0,63,53,39,35.67017781952582,97
2020-11-25,2,11,192038,0,144,52,120,29.87383721952026,100
2020-11-26,3,11,174862,0,103,79,42,34.847334044051806,119
2020-11-27,4,11,168834,0,181,99,131,39.73351594599059,173
2020-11-28,5,11,143848,0,88,56,33,31.97895864358892,103
2020-11-29,6,11,102921,0,121,44,110,39.6237579090411,108
2020-11-30,0,11,176141,0,74,79,96,15.720908173042634,67
2020-12-01,1,12,72677,0,126,65,104,23.45349971209521,125
2020-12-02,2,12,105609,0,209,37,128,17.69633161405773,111
2020-12-03,3,12,81024,0,236,32,50,21.55762328461099,238
2020-12-04,4,12,120313,0,279,91,141,35.97219747814436,303
2020-12-05,5,12,177813,0,240,76,126,15.808081633152257,226
2020-12-06,6,12,145285,0,215,90,73,28.00457339330984,258
2020-12-07,0,12,196410,1,169,61,62,29.178217688309324,243
2020-12-08,1,12,163632,0,269,42,108,29.028778666798903,234
2020-12-09,2,12,53051,0,102,30,134,26.882426845581392,50
2020-12-10,3,12,164692,0,271,63,118,34.765074119243884,280
2020-12-11,4,12,137235,0,244,91,66,18.33857723763878,265
2020-12-12,5,12,123523,0,205,60,90,22.764425388769684,218
2020-12-13,6,12,144476,0,180,93,86,30.393151336129318,222
2020-12-14,0,12,67019,0,286,54,81,32.273784156698895,284
2020-12-15,1,12,133613,0,295,67,128,25.103710794426405,244
2020-12-16,2,12,136672,0,275,43,56,36.88428158318083,253
2020-12-17,3,12,123847,0,257,37,138,25.387334917397858,184
2020-12-18,4,12,132750,0,199,83,105,25.06940335870833,230
2020-12-19,5,12,78251,0,145,31,145,15.905181537184625,50
2020-12-20,6,12,153481,0,215,85,71,28.778533404868348,260
2020-12-21,0,12,162566,0,249,90,110,32.717020962797626,298
2020-12-22,1,12,75945,0,296,51,52,17.8609540879212,347
2020-12-23,2,12,140852,0,121,64,100,22.63581915219677,108
2020-12-24,3,12,82217,0,111,45,61,34.53142384457131,114
2020-12-25,4,12,58308,0,234,79,131,24.147985885339388,235
2020-12-26,5,12,55949,1,55,72,145,21.040061551000996,108
2020-12-27,6,12,182222,0,255,46,125,31.805016589127806,185
2020-12-28,0,12,150235,0,81,87,144,19.91896944179139,59
2020-12-29,1,12,124740,1,148,31,132,37.39132298957942,136
2020-12-30,2,12,166352,0,187,33,83,17.639959900653523,155
2020-12-31,3,12,116617,0,180,68,142,32.66374505707067,136
2021-01-01,4,1,66896,1,236,35,133,27.488717532159377,226
2021-01-02,5,1,180798,0,125,98,39,36.74823905992484,188
2021-01-03,6,1,188877,0,226,98,35,18.154877275655913,294
2021-01-04,0,1,55237,0,108,49,38,31.947372962402195,127
2021-01-05,1,1,70056,0,80,93,139,29.301365979534538,55
2021-01-06,2,1,164548,0,142,45,57,27.00225355600116,150
2021-01-07,3,1,161488,0,118,80,112,27.28518158581671,79
2021-01-08,4,1,184415,0,239,66,124,33.049424044963274,189
2021-01-09,5,1,194572,0,101,98,119,38.44354137337055,138
2021-01-10,6,1,79375,0,138,71,109,17.281291477976204,146
2021-01-11,0,1,190734,0,176,86,63,15.487566190263006,194
2021-01-12,1,1,66964,0,218,95,95,35.14261981203009,273
2021-01-13,2,1,163429,0,80,38,98,17.704234688768985,50
2021-01-14,3,1,117215,0,262,93,92,39.66741990201059,290
2021-01-15,4,1,119042,0,299,51,115,30.48370622397093,265
2021-01-16,5,1,194356,0,133,63,108,31.271659881353518,111
2021-01-17,6,1,143468,0,280,84,122,19.972292573450435,237
2021-01-18,0,1,59435,0,176,58,25,21.007807757416863,219
2021-01-19,1,1,128832,0,199,67,141,31.483757577481253,176
2021-01-20,2,1,101293,0,181,47,135,37.74317094835492,136
2021-01-21,3,1,128781,0,62,94,81,39.559763862939164,101
2021-01-22,4,1,93919,0,94,30,108,19.95077366577734,82
2021-01-23,5,1,171172,0,176,33,115,18.352990567744754,160
2021-01-24,6,1,144758,0,219,33,145,16.410033944019762,173
2021-01-25,0,1,106573,0,163,56,109,36.7074254540332,150
2021-01-26,1,1,109101,0,226,72,105,22.367871171411718,198
2021-01-27,2,1,76646,0,69,88,140,15.045300846731292,74
2021-01-28,3,1,154185,0,293,61,95,20.595452151410722,278
2021-01-29,4,1,73049,0,254,62,111,23.511027002485463,237
2021-01-30,5,1,148116,0,130,57,89,39.77465423741713,112
2021-01-31,6,1,147379,0,231,84,42,28.08853984642704,277
2021-02-01,0,2,118385,0,213,89,77,20.117848689877533,209
2021-02-02,1,2,176131,0,274,99,65,23.370458617836277,335
2021-02-03,2,2,73289,0,178,91,41,23.25769218892196,226
2021-02-04,3,2,160226,0,192,63,27,15.493143661579387,239
2021-02-05,4,2,150793,0,254,85,142,18.379576354285753,229
2021-02-06,5,2,59823,1,66,42,39,32.37991149258028,187
2021-02-07,6,2,91975,0,201,85,97,18.006274664268368,201
2021-02-08,0,2,59540,0,107,47,58,20.76835691515297,141
2021-02-09,1,2,66364,0,121,83,56,23.768432460107718,190
2021-02-10,2,2,185683,0,291,72,94,33.943373612557345,293
2021-02-11,3,2,77663,0,268,68,137,29.560024121698497,193
2021-02-12,4,2,101991,0,158,90,123,32.22499962471421,137
2021-02-13,5,2,154182,0,72,71,50,29.175308135504306,121
2021-02-14,6,2,144704,0,223,47,142,32.08981063054672,140
2021-02-15,0,2,99115,0,121,52,73,15.071053841599312,119
2021-02-16,1,2,141007,0,57,83,53,38.27245360928573,92
2021-02-17,2,2,199143,0,108,59,141,17.773005771870164,79
2021-02-18,3,2,61938,0,267,87,132,25.15622739942262,283
2021-02-19,4,2,141680,0,160,97,81,34.27595925612137,205
2021-02-20,5,2,54000,0,236,96,42,25.880767950235597,320
2021-02-21,6,2,151042,0,62,47,65,38.6710637916879,72
2021-02-22,0,2,143610,0,216,36,75,26.689723712469167,227
2021-02-23,1,2,153691,0,278,69,137,36.873485140066784,247
2021-02-24,2,2,88304,0,290,99,132,35.27070283405678,239
2021-02-25,3,2,119449,0,205,94,63,39.524657569967076,263
2021-02-26,4,2,132986,0,266,97,147,38.163694518774385,251
2021-02-27,5,2,158940,0,238,78,127,37.45309586782197,204
2021-02-28,6,2,88494,0,65,81,36,33.290108512986706,124
2021-03-01,0,3,53373,0,168,58,78,24.174953681705517,192
2021-03-02,1,3,193233,1,51,50,118,17.65313546412256,70
2021-03-03,2,3,147532,0,295,38,103,32.21612630660975,246
2021-03-04,3,3,142658,0,259,76,64,39.46635203344913,293
2021-03-05,4,3,173633,0,194,71,127,33.165110933296724,159
2021-03-06,5,3,150386,0,79,80,81,38.21823423193339,104
2021-03-07,6,3,77350,0,152,85,78,35.10761782388792,133
2021-03-08,0,3,143008,0,62,80,30,19.077866877916968,112
